,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[525, 219, 188, 228]",0.04,0.0,0.14,0.26,0.14,0.0,0.42
1,"[525, 218, 187, 230]",0.08,0.0,0.11,0.37,0.15,0.0,0.3
2,"[523, 216, 189, 232]",0.06,0.0,0.12,0.28,0.13,0.0,0.4
3,"[523, 217, 189, 231]",0.05,0.0,0.1,0.39,0.11,0.0,0.34
4,"[522, 215, 192, 235]",0.08,0.0,0.13,0.22,0.17,0.0,0.4
5,"[523, 217, 190, 232]",0.1,0.0,0.16,0.21,0.18,0.0,0.34
6,"[525, 220, 190, 228]",0.08,0.0,0.23,0.13,0.18,0.0,0.39
7,"[524, 221, 190, 227]",0.05,0.0,0.16,0.17,0.15,0.0,0.48
8,"[519, 215, 195, 239]",0.12,0.0,0.17,0.06,0.21,0.0,0.43
9,"[522, 219, 190, 228]",0.1,0.0,0.12,0.18,0.16,0.0,0.44
10,"[521, 220, 191, 230]",0.1,0.0,0.16,0.07,0.28,0.0,0.39
11,"[521, 220, 191, 231]",0.06,0.0,0.12,0.06,0.23,0.0,0.53
12,"[521, 221, 190, 228]",0.1,0.0,0.16,0.11,0.17,0.0,0.46
13,"[522, 221, 189, 228]",0.06,0.0,0.15,0.08,0.21,0.0,0.49
14,"[527, 223, 187, 226]",0.13,0.0,0.08,0.14,0.34,0.0,0.31
15,"[526, 225, 188, 221]",0.15,0.0,0.15,0.17,0.22,0.0,0.3
16,"[540, 228, 180, 213]",0.25,0.0,0.17,0.2,0.19,0.01,0.18
17,"[533, 198, 203, 247]",0.06,0.0,0.21,0.14,0.23,0.01,0.36
18,"[553, 225, 186, 220]",0.06,0.0,0.17,0.23,0.19,0.01,0.34
19,"[556, 219, 194, 234]",0.13,0.0,0.21,0.07,0.34,0.0,0.24
20,"[565, 225, 197, 232]",0.09,0.0,0.15,0.19,0.37,0.0,0.2
21,"[573, 223, 199, 239]",0.08,0.0,0.17,0.25,0.2,0.0,0.3
22,"[578, 228, 200, 236]",0.08,0.0,0.29,0.14,0.18,0.0,0.3
23,"[578, 229, 201, 237]",0.05,0.0,0.26,0.09,0.16,0.0,0.43
24,"[576, 229, 203, 240]",0.05,0.0,0.31,0.1,0.15,0.0,0.38
25,"[576, 229, 201, 238]",0.03,0.0,0.18,0.05,0.18,0.0,0.55
26,"[574, 230, 201, 238]",0.03,0.0,0.15,0.11,0.22,0.0,0.48
27,"[573, 234, 201, 238]",0.03,0.0,0.18,0.1,0.21,0.0,0.47
28,"[569, 236, 205, 240]",0.05,0.0,0.23,0.12,0.19,0.0,0.41
29,"[566, 236, 202, 245]",0.06,0.0,0.2,0.11,0.21,0.0,0.42
