,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[545, 191, 204, 253]",0.01,0.0,0.02,0.45,0.03,0.01,0.48
1,"[544, 190, 206, 258]",0.03,0.0,0.03,0.51,0.05,0.04,0.35
2,"[544, 186, 208, 264]",0.05,0.0,0.03,0.62,0.04,0.03,0.24
3,"[539, 191, 209, 261]",0.05,0.0,0.07,0.3,0.05,0.12,0.42
4,"[530, 190, 218, 270]",0.04,0.0,0.04,0.34,0.03,0.09,0.46
5,"[527, 187, 215, 270]",0.03,0.0,0.04,0.27,0.05,0.07,0.54
6,"[522, 187, 210, 266]",0.04,0.0,0.02,0.21,0.04,0.03,0.66
7,"[520, 192, 202, 255]",0.07,0.0,0.03,0.23,0.07,0.01,0.59
8,"[514, 191, 206, 254]",0.01,0.0,0.01,0.26,0.02,0.0,0.69
9,"[510, 196, 207, 249]",0.01,0.0,0.01,0.41,0.02,0.0,0.55
10,"[508, 196, 210, 251]",0.01,0.0,0.01,0.29,0.04,0.0,0.65
11,"[512, 194, 208, 247]",0.01,0.0,0.01,0.29,0.03,0.0,0.65
12,"[516, 194, 207, 247]",0.01,0.0,0.01,0.37,0.04,0.0,0.56
13,"[517, 193, 207, 242]",0.02,0.0,0.01,0.4,0.02,0.0,0.54
14,"[525, 192, 205, 251]",0.03,0.0,0.01,0.22,0.01,0.0,0.72
15,"[527, 186, 206, 254]",0.03,0.0,0.01,0.31,0.03,0.0,0.61
16,"[532, 196, 206, 244]",0.02,0.0,0.03,0.14,0.08,0.04,0.7
17,"[526, 184, 212, 266]",0.04,0.0,0.04,0.31,0.09,0.02,0.52
18,"[522, 187, 206, 258]",0.01,0.0,0.04,0.21,0.05,0.04,0.65
19,"[519, 179, 213, 264]",0.02,0.0,0.04,0.29,0.05,0.06,0.53
20,"[520, 179, 216, 268]",0.02,0.0,0.09,0.1,0.09,0.12,0.58
21,"[517, 180, 219, 266]",0.03,0.0,0.06,0.17,0.08,0.05,0.61
22,"[519, 179, 217, 265]",0.02,0.0,0.06,0.17,0.08,0.08,0.59
23,"[518, 181, 213, 262]",0.02,0.0,0.06,0.15,0.05,0.12,0.6
24,"[511, 179, 211, 259]",0.02,0.0,0.04,0.21,0.06,0.03,0.64
25,"[509, 179, 207, 254]",0.03,0.0,0.03,0.19,0.04,0.04,0.67
26,"[515, 180, 198, 246]",0.02,0.0,0.03,0.07,0.13,0.02,0.74
27,"[505, 175, 211, 260]",0.06,0.0,0.01,0.02,0.06,0.0,0.85
28,"[502, 177, 216, 266]",0.05,0.0,0.02,0.02,0.08,0.0,0.83
29,"[499, 176, 212, 264]",0.08,0.0,0.01,0.0,0.1,0.0,0.8
30,"[498, 179, 208, 256]",0.11,0.0,0.04,0.01,0.26,0.01,0.57
31,"[492, 184, 199, 245]",0.08,0.0,0.04,0.03,0.25,0.0,0.61
32,"[477, 187, 201, 254]",0.05,0.0,0.04,0.02,0.24,0.0,0.65
33,"[460, 186, 208, 259]",0.11,0.0,0.08,0.03,0.27,0.0,0.51
34,"[451, 188, 209, 256]",0.1,0.0,0.07,0.03,0.21,0.01,0.58
35,"[448, 184, 206, 258]",0.08,0.0,0.05,0.03,0.2,0.0,0.64
36,"[450, 188, 197, 242]",0.1,0.0,0.01,0.0,0.36,0.0,0.52
37,"[443, 178, 205, 256]",0.06,0.0,0.03,0.04,0.17,0.0,0.7
38,"[437, 175, 207, 256]",0.08,0.0,0.04,0.08,0.2,0.01,0.59
39,"[427, 173, 209, 264]",0.03,0.0,0.01,0.36,0.07,0.0,0.54
40,"[428, 174, 208, 258]",0.01,0.0,0.0,0.02,0.03,0.0,0.94
41,"[438, 178, 205, 256]",0.09,0.0,0.01,0.14,0.07,0.0,0.69
42,"[445, 181, 207, 262]",0.06,0.0,0.01,0.06,0.12,0.0,0.75
43,"[450, 185, 213, 263]",0.02,0.0,0.01,0.11,0.09,0.0,0.78
44,"[456, 184, 216, 266]",0.03,0.0,0.02,0.18,0.23,0.0,0.55
45,"[467, 183, 219, 269]",0.02,0.0,0.02,0.62,0.12,0.0,0.22
46,"[470, 176, 223, 273]",0.01,0.0,0.01,0.7,0.08,0.0,0.2
47,"[482, 180, 223, 269]",0.01,0.0,0.05,0.51,0.19,0.01,0.24
48,"[494, 185, 209, 252]",0.01,0.0,0.04,0.58,0.14,0.02,0.22
49,"[483, 181, 217, 262]",0.01,0.0,0.01,0.78,0.06,0.0,0.13
50,"[490, 187, 201, 242]",0.03,0.0,0.03,0.15,0.35,0.0,0.44
