,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[527, 308, 208, 252]",0.02,0.0,0.01,0.11,0.03,0.01,0.82
1,"[525, 307, 210, 257]",0.02,0.0,0.01,0.19,0.03,0.01,0.72
2,"[522, 301, 214, 269]",0.05,0.0,0.03,0.36,0.06,0.02,0.49
3,"[525, 310, 210, 255]",0.03,0.0,0.01,0.07,0.04,0.01,0.83
4,"[522, 301, 214, 272]",0.04,0.0,0.02,0.27,0.05,0.01,0.61
5,"[522, 301, 213, 272]",0.05,0.0,0.03,0.16,0.06,0.01,0.68
6,"[522, 304, 212, 267]",0.06,0.0,0.01,0.07,0.13,0.0,0.73
7,"[522, 313, 211, 257]",0.03,0.0,0.01,0.04,0.09,0.0,0.83
8,"[521, 304, 212, 269]",0.07,0.0,0.02,0.08,0.16,0.0,0.67
9,"[521, 305, 211, 265]",0.09,0.0,0.02,0.05,0.14,0.01,0.69
10,"[521, 305, 207, 261]",0.05,0.0,0.01,0.05,0.14,0.0,0.74
11,"[518, 311, 202, 248]",0.04,0.0,0.01,0.03,0.07,0.0,0.85
12,"[514, 311, 204, 249]",0.05,0.0,0.01,0.07,0.1,0.0,0.77
13,"[513, 312, 202, 243]",0.07,0.0,0.01,0.08,0.1,0.0,0.73
14,"[513, 314, 199, 243]",0.05,0.0,0.01,0.06,0.11,0.0,0.77
15,"[513, 316, 196, 237]",0.06,0.0,0.02,0.03,0.1,0.0,0.78
16,"[510, 315, 197, 241]",0.04,0.0,0.01,0.02,0.12,0.0,0.81
17,"[508, 313, 199, 243]",0.03,0.0,0.02,0.01,0.15,0.0,0.79
18,"[509, 315, 198, 243]",0.04,0.0,0.02,0.01,0.16,0.0,0.77
19,"[507, 315, 199, 243]",0.04,0.0,0.03,0.01,0.18,0.0,0.74
20,"[508, 313, 199, 247]",0.03,0.0,0.02,0.01,0.19,0.0,0.75
21,"[508, 313, 199, 247]",0.06,0.0,0.07,0.01,0.3,0.01,0.56
22,"[509, 316, 197, 245]",0.06,0.0,0.05,0.01,0.25,0.0,0.63
23,"[510, 315, 199, 246]",0.05,0.0,0.05,0.0,0.26,0.0,0.63
24,"[512, 317, 200, 244]",0.05,0.0,0.05,0.0,0.32,0.0,0.57
25,"[514, 314, 200, 248]",0.06,0.0,0.05,0.0,0.26,0.0,0.63
26,"[515, 309, 202, 253]",0.04,0.0,0.02,0.01,0.17,0.0,0.76
27,"[518, 317, 201, 244]",0.04,0.0,0.03,0.01,0.18,0.0,0.74
28,"[522, 315, 200, 244]",0.04,0.0,0.02,0.01,0.13,0.0,0.79
29,"[522, 317, 200, 242]",0.06,0.0,0.03,0.01,0.17,0.0,0.73
30,"[523, 317, 199, 240]",0.05,0.0,0.03,0.01,0.15,0.0,0.74
31,"[523, 316, 200, 245]",0.03,0.0,0.04,0.0,0.18,0.0,0.75
32,"[521, 316, 201, 243]",0.04,0.0,0.03,0.01,0.2,0.0,0.72
33,"[522, 317, 199, 243]",0.04,0.0,0.04,0.0,0.21,0.0,0.7
34,"[521, 317, 199, 241]",0.04,0.0,0.03,0.01,0.16,0.0,0.77
35,"[523, 320, 198, 239]",0.03,0.0,0.02,0.01,0.14,0.0,0.8
36,"[522, 321, 203, 240]",0.07,0.0,0.04,0.01,0.26,0.0,0.62
37,"[1091, 292, 57, 71]",0.44,0.0,0.08,0.14,0.14,0.05,0.15
38,"[530, 312, 204, 248]",0.06,0.0,0.03,0.17,0.13,0.01,0.6
39,"[530, 312, 204, 244]",0.07,0.0,0.05,0.16,0.14,0.01,0.56
40,"[1092, 294, 57, 68]",0.44,0.0,0.04,0.29,0.11,0.03,0.09
41,"[530, 311, 204, 250]",0.03,0.0,0.03,0.05,0.05,0.01,0.84
42,"[527, 297, 208, 259]",0.02,0.0,0.01,0.05,0.03,0.0,0.89
43,"[530, 309, 204, 250]",0.03,0.0,0.02,0.03,0.03,0.0,0.88
44,"[532, 296, 204, 259]",0.05,0.0,0.05,0.07,0.05,0.01,0.77
45,"[536, 295, 202, 256]",0.08,0.0,0.1,0.03,0.17,0.01,0.61
46,"[541, 297, 203, 250]",0.07,0.0,0.08,0.01,0.18,0.01,0.65
47,"[544, 295, 202, 252]",0.07,0.0,0.04,0.02,0.14,0.0,0.73
48,"[545, 293, 201, 252]",0.04,0.0,0.03,0.0,0.12,0.0,0.81
49,"[542, 294, 203, 251]",0.06,0.0,0.03,0.01,0.19,0.0,0.71
50,"[540, 295, 201, 254]",0.08,0.0,0.02,0.02,0.19,0.0,0.68
51,"[538, 300, 204, 253]",0.05,0.0,0.01,0.04,0.16,0.0,0.74
52,"[536, 305, 204, 250]",0.03,0.0,0.01,0.04,0.16,0.0,0.76
53,"[538, 305, 203, 252]",0.03,0.0,0.01,0.06,0.2,0.0,0.69
54,"[538, 306, 206, 253]",0.04,0.0,0.01,0.07,0.21,0.0,0.67
55,"[541, 308, 206, 250]",0.04,0.0,0.01,0.03,0.2,0.0,0.72
56,"[543, 306, 208, 257]",0.03,0.0,0.01,0.03,0.19,0.0,0.73
57,"[545, 306, 208, 255]",0.05,0.0,0.02,0.06,0.17,0.0,0.7
58,"[547, 307, 208, 256]",0.04,0.0,0.02,0.06,0.22,0.0,0.65
59,"[548, 304, 206, 256]",0.03,0.0,0.01,0.08,0.15,0.0,0.72
60,"[545, 307, 206, 255]",0.04,0.0,0.02,0.14,0.12,0.0,0.67
61,"[541, 310, 206, 254]",0.04,0.0,0.02,0.18,0.06,0.0,0.7
62,"[537, 303, 208, 261]",0.04,0.0,0.02,0.14,0.06,0.0,0.74
63,"[533, 308, 209, 260]",0.03,0.0,0.02,0.26,0.06,0.0,0.64
64,"[530, 309, 211, 257]",0.03,0.0,0.01,0.16,0.05,0.0,0.75
65,"[528, 308, 209, 260]",0.03,0.0,0.01,0.07,0.04,0.0,0.85
66,"[525, 306, 209, 258]",0.04,0.0,0.01,0.05,0.04,0.0,0.86
67,"[525, 301, 209, 259]",0.07,0.0,0.02,0.34,0.08,0.01,0.48
68,"[525, 298, 210, 256]",0.08,0.0,0.01,0.23,0.07,0.0,0.6
69,"[525, 295, 210, 257]",0.06,0.0,0.01,0.12,0.04,0.0,0.76
70,"[524, 294, 211, 258]",0.06,0.0,0.02,0.03,0.05,0.0,0.83
71,"[521, 292, 213, 262]",0.16,0.0,0.06,0.03,0.11,0.01,0.63
72,"[521, 290, 214, 263]",0.11,0.0,0.05,0.02,0.09,0.01,0.72
73,"[522, 293, 213, 259]",0.07,0.0,0.03,0.01,0.07,0.0,0.82
74,"[524, 294, 211, 255]",0.06,0.0,0.02,0.01,0.09,0.0,0.82
75,"[528, 296, 209, 253]",0.04,0.0,0.02,0.01,0.08,0.0,0.86
76,"[531, 294, 208, 256]",0.08,0.0,0.02,0.01,0.1,0.01,0.78
77,"[533, 294, 210, 258]",0.05,0.0,0.01,0.01,0.11,0.0,0.82
78,"[533, 296, 212, 263]",0.03,0.0,0.01,0.02,0.06,0.0,0.87
79,"[536, 300, 210, 262]",0.02,0.0,0.01,0.01,0.06,0.0,0.9
80,"[531, 304, 213, 263]",0.03,0.0,0.01,0.01,0.08,0.0,0.88
81,"[531, 295, 211, 274]",0.05,0.0,0.01,0.01,0.07,0.0,0.86
82,"[527, 309, 213, 262]",0.05,0.0,0.01,0.01,0.06,0.0,0.87
83,"[531, 320, 211, 256]",0.06,0.0,0.01,0.01,0.05,0.0,0.87
84,"[529, 324, 211, 257]",0.06,0.0,0.02,0.0,0.07,0.0,0.85
85,"[528, 326, 211, 256]",0.11,0.0,0.03,0.0,0.09,0.0,0.77
86,"[524, 321, 212, 258]",0.11,0.0,0.02,0.01,0.1,0.0,0.76
87,"[524, 319, 214, 260]",0.1,0.0,0.02,0.01,0.06,0.0,0.81
88,"[524, 319, 212, 257]",0.1,0.0,0.02,0.01,0.04,0.0,0.82
89,"[529, 327, 211, 254]",0.15,0.0,0.03,0.0,0.07,0.0,0.74
90,"[523, 317, 215, 262]",0.09,0.0,0.02,0.01,0.04,0.0,0.84
91,"[524, 316, 215, 263]",0.07,0.0,0.02,0.01,0.05,0.0,0.86
92,"[531, 326, 210, 255]",0.12,0.0,0.03,0.0,0.06,0.01,0.79
93,"[533, 322, 211, 259]",0.07,0.0,0.04,0.02,0.05,0.01,0.82
94,"[530, 315, 214, 261]",0.05,0.0,0.01,0.01,0.02,0.0,0.9
95,"[529, 311, 217, 269]",0.05,0.0,0.01,0.01,0.02,0.0,0.9
96,"[531, 313, 215, 265]",0.04,0.0,0.01,0.01,0.02,0.0,0.92
97,"[531, 313, 212, 262]",0.06,0.0,0.02,0.05,0.04,0.0,0.82
98,"[530, 311, 215, 264]",0.05,0.0,0.01,0.03,0.04,0.0,0.87
99,"[530, 309, 217, 266]",0.05,0.0,0.01,0.01,0.03,0.0,0.89
100,"[530, 309, 216, 265]",0.06,0.0,0.01,0.01,0.04,0.0,0.87
101,"[531, 307, 215, 266]",0.07,0.0,0.01,0.01,0.04,0.0,0.86
102,"[530, 305, 216, 268]",0.06,0.0,0.01,0.01,0.05,0.0,0.86
