,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[551, 384, 176, 215]",0.12,0.0,0.1,0.02,0.23,0.0,0.53
1,"[547, 376, 182, 222]",0.13,0.0,0.14,0.04,0.24,0.0,0.45
2,"[551, 386, 176, 215]",0.1,0.0,0.09,0.01,0.25,0.0,0.56
3,"[550, 384, 179, 217]",0.07,0.0,0.08,0.01,0.29,0.0,0.55
4,"[551, 383, 180, 221]",0.06,0.0,0.05,0.01,0.22,0.0,0.66
5,"[550, 385, 178, 218]",0.05,0.0,0.06,0.01,0.24,0.0,0.64
6,"[550, 385, 179, 218]",0.07,0.0,0.05,0.01,0.23,0.0,0.65
7,"[551, 389, 177, 215]",0.06,0.0,0.04,0.01,0.15,0.0,0.75
8,"[551, 389, 176, 215]",0.06,0.0,0.04,0.01,0.17,0.0,0.72
9,"[550, 386, 181, 221]",0.06,0.0,0.06,0.02,0.21,0.0,0.64
10,"[550, 389, 176, 217]",0.1,0.0,0.08,0.02,0.17,0.0,0.63
11,"[549, 390, 180, 218]",0.08,0.0,0.08,0.02,0.18,0.0,0.63
12,"[550, 391, 177, 217]",0.09,0.0,0.08,0.04,0.21,0.0,0.58
13,"[549, 392, 178, 217]",0.09,0.0,0.08,0.03,0.21,0.0,0.6
14,"[549, 393, 178, 217]",0.09,0.0,0.09,0.01,0.23,0.0,0.58
15,"[551, 391, 179, 217]",0.06,0.0,0.08,0.01,0.23,0.0,0.62
16,"[552, 391, 179, 217]",0.07,0.0,0.08,0.01,0.22,0.0,0.61
17,"[551, 392, 176, 215]",0.06,0.0,0.06,0.01,0.15,0.0,0.71
18,"[552, 392, 176, 216]",0.08,0.0,0.09,0.01,0.28,0.0,0.55
19,"[549, 392, 179, 217]",0.09,0.0,0.11,0.01,0.24,0.0,0.55
20,"[550, 390, 180, 219]",0.05,0.0,0.08,0.01,0.22,0.0,0.64
21,"[551, 390, 179, 218]",0.08,0.0,0.08,0.01,0.26,0.0,0.58
22,"[550, 391, 179, 218]",0.07,0.0,0.06,0.01,0.18,0.0,0.69
23,"[549, 389, 181, 221]",0.07,0.0,0.08,0.01,0.24,0.0,0.6
24,"[550, 388, 180, 221]",0.05,0.0,0.06,0.01,0.24,0.0,0.63
25,"[549, 388, 180, 219]",0.08,0.0,0.07,0.01,0.24,0.0,0.59
26,"[549, 389, 180, 219]",0.05,0.0,0.05,0.0,0.22,0.0,0.67
27,"[550, 389, 180, 220]",0.06,0.0,0.04,0.01,0.2,0.0,0.69
28,"[549, 388, 180, 220]",0.07,0.0,0.07,0.0,0.26,0.0,0.59
29,"[549, 389, 180, 220]",0.07,0.0,0.05,0.01,0.17,0.0,0.71
30,"[549, 390, 177, 216]",0.09,0.0,0.05,0.02,0.18,0.0,0.65
31,"[548, 388, 180, 220]",0.05,0.0,0.05,0.01,0.19,0.0,0.69
32,"[548, 386, 182, 222]",0.08,0.0,0.07,0.01,0.22,0.0,0.61
33,"[549, 388, 179, 219]",0.13,0.0,0.05,0.02,0.37,0.0,0.43
