,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[506, 396, 187, 233]",0.1,0.0,0.21,0.01,0.39,0.0,0.28
1,"[513, 391, 180, 234]",0.06,0.01,0.16,0.0,0.44,0.0,0.32
2,"[511, 388, 188, 245]",0.03,0.0,0.05,0.01,0.08,0.0,0.83
3,"[510, 389, 189, 245]",0.06,0.0,0.04,0.0,0.13,0.0,0.78
4,"[509, 388, 190, 245]",0.04,0.0,0.02,0.01,0.08,0.0,0.85
5,"[509, 389, 188, 242]",0.09,0.0,0.03,0.0,0.18,0.0,0.68
6,"[526, 387, 182, 232]",0.1,0.01,0.07,0.02,0.23,0.0,0.58
7,"[564, 405, 151, 201]",0.11,0.0,0.23,0.03,0.36,0.0,0.27
8,"[544, 396, 179, 233]",0.09,0.02,0.09,0.01,0.31,0.0,0.49
9,"[577, 405, 168, 212]",0.05,0.0,0.07,0.01,0.56,0.0,0.31
10,"[564, 404, 176, 224]",0.13,0.0,0.1,0.0,0.27,0.0,0.5
11,"[561, 400, 181, 225]",0.08,0.0,0.12,0.0,0.28,0.0,0.52
12,"[563, 402, 180, 223]",0.09,0.0,0.12,0.0,0.27,0.0,0.52
13,"[558, 396, 191, 238]",0.15,0.0,0.08,0.01,0.22,0.0,0.53
14,"[562, 408, 177, 224]",0.11,0.0,0.09,0.0,0.21,0.0,0.58
15,"[574, 404, 171, 223]",0.07,0.0,0.09,0.0,0.54,0.0,0.29
16,"[566, 405, 179, 226]",0.09,0.0,0.1,0.0,0.22,0.0,0.58
17,"[564, 403, 179, 225]",0.11,0.0,0.11,0.0,0.26,0.0,0.51
18,"[563, 403, 180, 229]",0.07,0.0,0.19,0.0,0.37,0.0,0.37
19,"[562, 405, 173, 217]",0.11,0.0,0.09,0.0,0.26,0.0,0.54
20,"[575, 394, 173, 234]",0.07,0.0,0.13,0.01,0.36,0.0,0.43
21,"[594, 405, 172, 215]",0.07,0.0,0.19,0.0,0.34,0.02,0.38
22,"[597, 407, 171, 211]",0.08,0.0,0.16,0.0,0.38,0.01,0.36
23,"[593, 402, 174, 216]",0.07,0.0,0.19,0.0,0.32,0.0,0.42
24,"[596, 403, 173, 215]",0.05,0.0,0.17,0.0,0.35,0.01,0.41
25,"[594, 400, 175, 218]",0.04,0.0,0.14,0.0,0.38,0.01,0.43
26,"[597, 395, 178, 224]",0.05,0.0,0.15,0.0,0.29,0.01,0.5
27,"[591, 407, 175, 215]",0.07,0.0,0.17,0.0,0.47,0.0,0.28
28,"[598, 410, 168, 210]",0.04,0.0,0.19,0.0,0.34,0.0,0.42
29,"[570, 406, 180, 226]",0.01,0.0,0.02,0.0,0.24,0.0,0.72
30,"[599, 416, 166, 205]",0.05,0.0,0.09,0.0,0.35,0.0,0.5
31,"[599, 415, 166, 207]",0.05,0.0,0.11,0.0,0.32,0.0,0.52
32,"[595, 414, 169, 210]",0.1,0.0,0.2,0.0,0.3,0.0,0.4
33,"[595, 412, 169, 212]",0.09,0.0,0.1,0.0,0.21,0.0,0.6
