,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[513, 346, 174, 215]",0.07,0.0,0.08,0.07,0.13,0.01,0.64
1,"[529, 347, 166, 213]",0.13,0.01,0.15,0.04,0.26,0.01,0.41
2,"[528, 349, 176, 218]",0.06,0.0,0.17,0.02,0.21,0.0,0.53
3,"[543, 351, 165, 209]",0.09,0.01,0.13,0.01,0.33,0.0,0.43
4,"[532, 344, 180, 222]",0.06,0.0,0.18,0.01,0.25,0.0,0.5
5,"[536, 350, 171, 217]",0.11,0.01,0.12,0.01,0.25,0.0,0.5
6,"[533, 355, 171, 218]",0.08,0.01,0.21,0.01,0.31,0.0,0.39
7,"[532, 361, 174, 216]",0.07,0.0,0.17,0.01,0.35,0.0,0.4
8,"[525, 362, 181, 223]",0.05,0.0,0.14,0.0,0.32,0.0,0.48
9,"[524, 362, 181, 223]",0.05,0.0,0.22,0.0,0.4,0.0,0.32
10,"[524, 362, 181, 222]",0.04,0.0,0.18,0.0,0.38,0.0,0.4
11,"[523, 361, 182, 223]",0.06,0.0,0.13,0.0,0.36,0.0,0.45
12,"[524, 362, 180, 223]",0.05,0.0,0.17,0.0,0.3,0.0,0.47
13,"[523, 361, 182, 226]",0.07,0.0,0.12,0.0,0.32,0.0,0.49
14,"[523, 361, 182, 225]",0.06,0.0,0.09,0.0,0.3,0.0,0.55
15,"[523, 361, 182, 225]",0.07,0.0,0.12,0.0,0.29,0.0,0.51
16,"[522, 361, 182, 226]",0.05,0.0,0.12,0.0,0.27,0.0,0.55
17,"[523, 361, 182, 225]",0.06,0.0,0.14,0.0,0.3,0.0,0.5
18,"[522, 361, 182, 224]",0.06,0.0,0.16,0.0,0.46,0.0,0.31
19,"[523, 362, 182, 224]",0.06,0.0,0.14,0.0,0.37,0.0,0.42
20,"[523, 362, 183, 224]",0.05,0.0,0.12,0.0,0.35,0.0,0.47
21,"[523, 361, 183, 227]",0.04,0.0,0.06,0.0,0.34,0.0,0.56
22,"[524, 362, 183, 225]",0.04,0.0,0.11,0.0,0.38,0.0,0.46
23,"[525, 361, 183, 226]",0.04,0.0,0.07,0.0,0.41,0.0,0.48
24,"[527, 365, 178, 221]",0.09,0.0,0.12,0.01,0.43,0.0,0.35
25,"[528, 368, 175, 216]",0.08,0.0,0.12,0.01,0.53,0.0,0.26
26,"[527, 363, 178, 221]",0.08,0.0,0.1,0.01,0.31,0.0,0.5
27,"[526, 362, 180, 222]",0.09,0.01,0.13,0.0,0.45,0.0,0.32
28,"[527, 362, 182, 226]",0.06,0.0,0.1,0.0,0.37,0.0,0.47
29,"[535, 370, 171, 218]",0.07,0.01,0.14,0.01,0.35,0.0,0.43
30,"[530, 369, 173, 221]",0.07,0.0,0.13,0.0,0.31,0.0,0.49
31,"[525, 365, 181, 223]",0.08,0.0,0.07,0.0,0.35,0.0,0.49
32,"[526, 364, 180, 223]",0.09,0.0,0.1,0.0,0.27,0.0,0.54
33,"[527, 362, 180, 225]",0.05,0.0,0.15,0.01,0.27,0.0,0.52
34,"[526, 358, 182, 228]",0.04,0.0,0.14,0.0,0.18,0.0,0.63
35,"[526, 356, 184, 229]",0.03,0.0,0.11,0.0,0.15,0.0,0.7
36,"[516, 359, 173, 217]",0.07,0.0,0.08,0.0,0.18,0.01,0.67
