,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[598, 250, 211, 275]",0.11,0.0,0.09,0.57,0.1,0.0,0.14
1,"[618, 261, 199, 251]",0.06,0.0,0.12,0.44,0.12,0.0,0.25
2,"[621, 261, 199, 252]",0.06,0.0,0.12,0.38,0.16,0.0,0.28
3,"[621, 250, 206, 269]",0.08,0.0,0.16,0.28,0.17,0.0,0.29
4,"[624, 264, 199, 248]",0.09,0.0,0.11,0.49,0.11,0.0,0.19
5,"[618, 263, 199, 249]",0.07,0.0,0.09,0.59,0.09,0.0,0.17
6,"[630, 266, 204, 266]",0.11,0.0,0.11,0.37,0.16,0.0,0.24
7,"[623, 263, 198, 250]",0.11,0.0,0.09,0.43,0.12,0.0,0.24
8,"[621, 266, 197, 246]",0.11,0.0,0.09,0.49,0.09,0.01,0.21
9,"[620, 268, 197, 245]",0.11,0.0,0.09,0.49,0.1,0.01,0.21
10,"[619, 265, 198, 251]",0.09,0.0,0.11,0.42,0.13,0.01,0.25
11,"[619, 267, 197, 247]",0.07,0.0,0.07,0.5,0.11,0.0,0.24
12,"[618, 268, 197, 246]",0.08,0.0,0.07,0.48,0.12,0.0,0.25
13,"[618, 267, 198, 250]",0.11,0.0,0.08,0.48,0.11,0.0,0.22
14,"[618, 269, 197, 247]",0.1,0.0,0.07,0.45,0.13,0.0,0.26
15,"[618, 269, 197, 249]",0.09,0.0,0.06,0.57,0.08,0.0,0.2
16,"[617, 262, 201, 259]",0.11,0.0,0.11,0.35,0.14,0.0,0.29
17,"[615, 261, 204, 261]",0.1,0.0,0.14,0.34,0.14,0.01,0.29
18,"[615, 261, 204, 261]",0.1,0.0,0.14,0.38,0.13,0.0,0.24
19,"[615, 260, 203, 261]",0.07,0.0,0.11,0.48,0.11,0.0,0.22
20,"[614, 259, 203, 262]",0.07,0.0,0.07,0.59,0.09,0.0,0.17
21,"[613, 263, 202, 257]",0.05,0.0,0.07,0.59,0.09,0.0,0.19
22,"[608, 259, 206, 263]",0.08,0.0,0.11,0.39,0.13,0.0,0.29
23,"[591, 263, 202, 257]",0.07,0.0,0.1,0.32,0.15,0.01,0.35
24,"[578, 259, 206, 268]",0.05,0.0,0.16,0.22,0.2,0.01,0.37
25,"[585, 264, 202, 263]",0.05,0.0,0.08,0.31,0.2,0.01,0.35
26,"[588, 263, 203, 260]",0.06,0.0,0.12,0.29,0.18,0.01,0.33
27,"[592, 265, 204, 259]",0.05,0.0,0.15,0.33,0.14,0.01,0.33
28,"[596, 262, 204, 261]",0.05,0.0,0.16,0.37,0.11,0.01,0.31
29,"[598, 263, 201, 259]",0.05,0.0,0.17,0.33,0.13,0.0,0.32
30,"[618, 267, 197, 250]",0.18,0.0,0.15,0.26,0.16,0.01,0.25
31,"[621, 266, 198, 251]",0.1,0.0,0.21,0.22,0.2,0.01,0.26
32,"[625, 263, 207, 266]",0.05,0.0,0.13,0.27,0.19,0.0,0.35
33,"[628, 261, 202, 264]",0.06,0.0,0.1,0.45,0.13,0.0,0.26
