,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[548, 314, 204, 261]",0.03,0.0,0.04,0.68,0.14,0.01,0.1
1,"[551, 319, 202, 255]",0.04,0.0,0.04,0.6,0.21,0.01,0.1
2,"[551, 315, 204, 256]",0.04,0.0,0.03,0.73,0.14,0.0,0.06
3,"[550, 315, 204, 256]",0.03,0.0,0.03,0.71,0.15,0.01,0.07
4,"[1207, 161, 29, 40]",0.13,0.0,0.17,0.06,0.45,0.06,0.13
5,"[1204, 171, 33, 48]",0.23,0.0,0.08,0.12,0.4,0.07,0.1
6,"[1219, 158, 21, 28]",0.22,0.0,0.13,0.09,0.18,0.07,0.32
7,"[575, 315, 210, 272]",0.03,0.0,0.06,0.68,0.11,0.01,0.11
8,"[576, 306, 214, 277]",0.03,0.0,0.07,0.67,0.1,0.01,0.13
9,"[582, 306, 210, 272]",0.04,0.0,0.06,0.62,0.11,0.01,0.16
10,"[617, 305, 201, 261]",0.03,0.0,0.04,0.79,0.06,0.01,0.06
11,"[624, 296, 199, 251]",0.03,0.0,0.04,0.76,0.06,0.01,0.1
12,"[621, 285, 203, 262]",0.05,0.0,0.06,0.63,0.11,0.01,0.14
13,"[630, 297, 197, 249]",0.03,0.0,0.02,0.83,0.05,0.0,0.06
14,"[644, 302, 202, 251]",0.01,0.0,0.01,0.96,0.01,0.0,0.02
15,"[645, 301, 206, 257]",0.01,0.0,0.01,0.93,0.02,0.0,0.02
16,"[579, 310, 198, 248]",0.03,0.0,0.02,0.84,0.07,0.0,0.04
17,"[579, 305, 199, 247]",0.03,0.0,0.02,0.83,0.08,0.0,0.04
18,"[587, 283, 196, 250]",0.05,0.0,0.03,0.8,0.07,0.0,0.05
19,"[607, 272, 202, 258]",0.0,0.0,0.0,0.97,0.01,0.0,0.01
20,"[608, 273, 203, 265]",0.01,0.0,0.01,0.95,0.02,0.0,0.02
21,"[626, 302, 198, 242]",0.1,0.0,0.07,0.65,0.07,0.01,0.1
22,"[630, 297, 199, 248]",0.04,0.0,0.02,0.85,0.05,0.0,0.04
23,"[638, 308, 186, 235]",0.05,0.0,0.03,0.79,0.09,0.01,0.04
24,"[631, 314, 186, 237]",0.03,0.0,0.04,0.81,0.06,0.02,0.05
25,"[637, 318, 180, 230]",0.01,0.0,0.01,0.92,0.02,0.01,0.03
26,"[600, 300, 193, 248]",0.01,0.0,0.01,0.89,0.04,0.0,0.04
27,"[604, 306, 193, 247]",0.07,0.0,0.04,0.7,0.11,0.01,0.07
28,"[610, 276, 198, 250]",0.02,0.0,0.01,0.84,0.06,0.01,0.06
29,"[617, 280, 197, 251]",0.01,0.0,0.0,0.94,0.02,0.0,0.03
30,"[609, 282, 201, 254]",0.01,0.0,0.01,0.92,0.02,0.0,0.04
31,"[603, 283, 204, 259]",0.01,0.0,0.01,0.94,0.02,0.0,0.03
32,"[605, 283, 204, 259]",0.01,0.0,0.01,0.94,0.01,0.0,0.03
33,"[609, 282, 203, 259]",0.01,0.0,0.01,0.89,0.03,0.0,0.04
34,"[631, 295, 200, 255]",0.02,0.0,0.01,0.92,0.03,0.0,0.02
35,"[638, 305, 199, 251]",0.02,0.0,0.01,0.91,0.03,0.0,0.03
36,"[638, 303, 196, 248]",0.02,0.0,0.01,0.9,0.03,0.0,0.04
37,"[640, 302, 192, 247]",0.02,0.0,0.01,0.91,0.03,0.0,0.02
38,"[623, 308, 195, 247]",0.06,0.0,0.12,0.54,0.14,0.03,0.12
39,"[624, 308, 191, 250]",0.02,0.0,0.03,0.75,0.08,0.01,0.11
40,"[618, 309, 195, 250]",0.03,0.0,0.05,0.68,0.1,0.01,0.14
41,"[667, 309, 191, 245]",0.06,0.0,0.02,0.76,0.11,0.01,0.04
42,"[644, 276, 197, 259]",0.02,0.0,0.02,0.81,0.04,0.01,0.1
